ui.menu|Μενού
713|Την τοποθεσία τη στέλνει το τηλέφωνό σας, <span class="hl">όχι το κέντρο επιχειρήσεων.</span>
714|Σε μια απαγωγή ο χρόνος είναι το παν. Στη συνηθισμένη αλυσίδα πρέπει να καταφέρεις να τηλεφωνήσεις, να εξηγήσεις πού βρίσκεσαι και να περιμένεις να εντοπίσει το κέντρο επιχειρήσεων το τηλέφωνο. Με το no pAIn™ αυτό το κομμάτι δεν χρειάζεται: η ίδια η συσκευή του θύματος στέλνει την τοποθεσία, ενημερωμένη, σε όσους πρέπει να επέμβουν.
715|<strong>Επίθεση και απαγωγή: ο συναγερμός φεύγει με την τοποθεσία</strong>Το reel είναι δημοσιευμένο στο προφίλ του έργου στο Instagram. Σκηνές μυθοπλασίας, για λόγους επίδειξης.
716|Γιατί αυτή η λεπτομέρεια μπορεί να σώσει μια ζωή
717|<b>Καμία κλήση να κάνετε.</b> Όποια δέχεται επίθεση ή απάγεται δεν προλαβαίνει να τηλεφωνήσει, να μιλήσει και να περιγράψει πού βρίσκεται. Ο συναγερμός φεύγει με τη φωνή, με ένα κουμπί ή με το button4help™, χωρίς να πει λέξη σε κανέναν.
718|<b>Η τοποθεσία φτάνει έτοιμη.</b> Συντεταγμένες, διεύθυνση και σύνδεσμος χάρτη ξεκινούν από το τηλέφωνο του θύματος και φτάνουν στις έμπιστες επαφές, που μπορούν να τα δώσουν αμέσως στην αστυνομία.
719|<b>Η τοποθεσία συνεχίζει να ενημερώνεται.</b> Αν ο δράστης μετακινείται, όποιος σπεύδει βλέπει τη διαδρομή ζωντανά: δεν κυνηγά ένα σημείο παλιό κατά λεπτά.
720|<b>Παρακάμπτονται τα βήματα που κοστίζουν χρόνο.</b> Δεν χρειάζεται κάποιο κέντρο επιχειρήσεων να εντοπίσει το τηλέφωνο: σε μια απαγωγή, αυτός ο χρόνος είναι η διαφορά ανάμεσα στο να φτάσεις εγκαίρως και στο να φτάσεις πολύ αργά.
721|Οι επιδείξεις των εφαρμογών
722|Τέσσερις καταστάσεις, τέσσερις τρόποι να ζητήσεις βοήθεια.
723|Η φωνή, το έξυπνο ρολόι, το κουμπί στην τσέπη: κάθε βίντεο δείχνει ένα διαφορετικό σημείο ενεργοποίησης και τι συμβαίνει από την άλλη πλευρά, όταν οι επαφές λαμβάνουν τον συναγερμό. Τα βίντεο έχουν ήχο.
724|Άλλα βίντεο
725|Το reel του button4help™ και το προφίλ στο Instagram.
726|Στο προφίλ του έργου θα βρείτε κι άλλα σύντομα βίντεο, τις αφίσες και τα νέα για τις εφαρμογές.
727|Άνοιγμα Instagram <span class="arr">↗</span>
728|Reel του no pAIn στο Instagram: επίθεση και απαγωγή, ο συναγερμός φεύγει με την τοποθεσία
729|Δείτε τα βίντεο <span class="arr">→</span>
730|Το εγχειρίδιο
731|Το εγχειρίδιο βρίσκεται ήδη μέσα στην εφαρμογή, στο ρολόι
732|Στο τηλέφωνο μπορείτε να εγκαταστήσετε τον ίδιο οδηγό ως εφαρμογή: <a class="link-arrow" href="https://play.google.com/store/apps/details?id=com.agiotech.aibutton" target="_blank" rel="noopener">ανοίξτε τον στο Google Play ↗</a>
733|Από τον οδηγό στο τηλέφωνο εγκαθίσταται και η εφαρμογή στο ρολόι, για όποιον δεν την έχει ακόμη
734|Το εγχειρίδιο του Proteggimi για Android είναι ένα PDF στα ιταλικά: ανοίγει στο πρόγραμμα περιήγησης και μπορεί να αποθηκευτεί. Η ενότητα για το Telegram εξηγεί πώς συνδέονται οι επαφές με το bot σε λίγα βήματα. Η διάρκεια της ζωντανής τοποθεσίας αλλάζει από εφαρμογή σε εφαρμογή: δείτε τις επιλογές της εφαρμογής που έχετε εγκαταστήσει.
735|Εγχειρίδιο Proteggimi, Android (PDF) <span class="arr">↗</span>
736|Telegram: πώς να συνδέσετε τις επαφές σας (PDF) <span class="arr">↗</span>
737|Εγχειρίδιο Proteggimi για Android (PDF) ↗
